Planungsstelle;Produkt;Bezeichnung;Deckungskreis;Maünahme;Budget;bewirtschaftende Dienststelle;anordnende Dienststelle;Ansatz 2022;Soll auf Ansatz;Ansatz 2023;Ansatz 2024;Ansatz 2025;Ansatz 2026;VE;Rgerg.2021;Rgerg.2022
1.1.1.01.5011000;1.1.1.01;Dienstaufwendungen für Beamte;1;0;01.01.2002;110;110;117.100;139.673,20;129.900;133.200;136.600;140.000;0;114.785,40;139.673,20
1.1.1.01.5012000;1.1.1.01;Dienstaufwendungen für Arbeitnehmer;1;0;01.01.2002;110;110;268.700;274.585,01;278.400;285.500;292.700;300.100;0;391.316,03;274.585,01
1.1.1.01.5021000;1.1.1.01;Beitrüge zu Versorgungskassen für Beamte;1;0;01.01.2002;110;110;87.800;87.623,21;85.700;87.900;90.200;92.400;0;80.415,63;87.623,21
1.1.1.01.5022000;1.1.1.01;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;01.01.2002;110;110;11.200;10.601,88;11.200;11.500;11.900;12.300;0;15.863,55;10.601,88
1.1.1.01.5032000;1.1.1.01;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;01.01.2002;110;110;54.000;53.155,96;56.000;57.400;58.900;60.400;0;74.765,00;53.155,96
1.1.1.01.5041000;1.1.1.01;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;01.01.2002;110;110;1.700;1.524,47;1.800;1.900;2.000;2.100;0;1.977,36;1.524,47
1.1.1.01.5231000;1.1.1.01;Aufwendungen für Mieten und Pachten;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.5271000;1.1.1.01;Besondere Verwaltungs- und Betriebsaufwendungen;13;0;01.01.2001;111;111;75.000;90.057,33;84.600;86.000;87.500;88.900;0;50.741,23;89.969,83
1.1.1.01.5271300;1.1.1.01;Aufwendungen für Projekt Hoi An;13;0;01.01.2001;111;111;0;0;10.500;11.100;700;100;0;0;0
1.1.1.01.5271400;1.1.1.01;Aufwend.aus Kleinprojektefonds;13;0;01.01.2001;111;111;10.000;10.969,43;0;0;0;0;0;0;10.969,43
1.1.1.01.5291000;1.1.1.01;Aufwendungen für sonstige Dienstleistungen;13;0;01.01.2001;111;111;1.500;300;1.600;1.600;1.600;1.600;0;550;300
1.1.1.01.5411000;1.1.1.01;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;01.01.2001;110;110;0;479,8;0;0;0;0;0;463,9;479,8
1.1.1.01.5431000;1.1.1.01;Geschüftsaufwendungen;13;0;01.01.2001;111;111;85.000;66.523,85;100.000;101.500;101.500;101.500;0;74.412,14;66.523,85
1.1.1.01.5431100;1.1.1.01;Aufwendungen für Sachverstündigen-,Gerichts-und ühnliche Kosten;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.5491000;1.1.1.01;Verfügungsmittel;0;0;01.01.2001;111;111;500;0;0;0;0;0;0;0;0
1.1.1.01.5711000;1.1.1.01;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;01.01.2004;220;220;4.100;0;0;0;0;0;0;8.874,38;0
1.1.1.01.5811200;1.1.1.01;Aufwendungen aus internen Leistungsbeziehungen Bauhof;4;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.5811600;1.1.1.01;Aufwendungen aus internen Leistungsbeziehungen Schierker Feuerstein Arena;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.6140001;1.1.1.01;Zuweisungen für laufende Zwecke vom Bund (Porjekt Hoi An);13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.6140011;1.1.1.01;Zuweisungen für laufende Zwecke vom Bund;0;0;01.01.2001;111;111;8.000;0;0;0;0;0;0;0;8.511,43
1.1.1.01.6141000;1.1.1.01;Zuweisungen für laufende Zwecke vom Land;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.6146000;1.1.1.01;Zuschüsse für laufende Zwecke von sonstigen üffentlichen Sonderrechnungen;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;6.050,00
1.1.1.01.6147000;1.1.1.01;Zuschüsse für laufende Zwecke von privaten Unternehmen;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;4.000,00;3.250,00
1.1.1.01.6321000;1.1.1.01;Benutzungsgebühren und ühnliche Entgelte;0;0;01.01.2001;111;111;8.100;0;0;0;0;0;0;0;0
1.1.1.01.6321019;1.1.1.01;19% Ust BenutzGeb. & ühnl. Ent;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.6421000;1.1.1.01;Einzahlungen aus dem Verkauf von Vorrüten;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;210
1.1.1.01.6461000;1.1.1.01;Sonstige privatrechtliche Leistungsentgelte;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.6461019;1.1.1.01;19% USt So.Privatrechtl. Leist;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.6481000;1.1.1.01;Einzahlungen aus Kostenerstattungen vom Land;0;0;01.01.2001;410;410;0;0;0;0;0;0;0;0;0
1.1.1.01.6486000;1.1.1.01;Einzahlungen aus Kostenerstattungen von sonstigen üffentlichen Sonderrechnungen;0;0;01.01.2002;410;410;0;0;0;0;0;0;0;0;0
1.1.1.01.6488000;1.1.1.01;Einzahlungen aus Kostenerstattungen von übrigen Bereichen;0;0;01.01.2001;410;410;0;0;0;0;0;0;0;0;0
1.1.1.01.7011000;1.1.1.01;Dienstauszahlungen und dgl. an Beamte;1;0;01.01.2002;110;110;117.100;0;129.900;133.200;136.600;140.000;0;114.785,40;139.673,20
1.1.1.01.7012000;1.1.1.01;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;01.01.2002;110;110;268.700;0;278.400;285.500;292.700;300.100;0;391.316,03;274.585,01
1.1.1.01.7021000;1.1.1.01;Beitrüge zu Versorgungskassen für Beamte;1;0;01.01.2002;110;110;87.800;0;85.700;87.900;90.200;92.400;0;80.415,63;87.623,21
1.1.1.01.7022000;1.1.1.01;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;01.01.2002;110;110;11.200;0;11.200;11.500;11.900;12.300;0;15.863,55;10.601,88
1.1.1.01.7032000;1.1.1.01;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;01.01.2002;110;110;54.000;0;56.000;57.400;58.900;60.400;0;74.765,00;53.155,96
1.1.1.01.7041000;1.1.1.01;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;01.01.2002;110;110;1.700;0;1.800;1.900;2.000;2.100;0;1.977,36;1.524,47
1.1.1.01.7231000;1.1.1.01;Auszahlungen für Mieten und Pachten;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.7271000;1.1.1.01;Besondere Verwaltungs- und Betriebsauszahlungen;13;0;01.01.2001;111;111;75.000;0;84.600;86.000;87.500;88.900;0;53.468,11;89.706,80
1.1.1.01.7271300;1.1.1.01;Auszahlungen für Projekt Hoi An;13;0;01.01.2001;111;111;0;0;10.500;11.100;700;100;0;0;0
1.1.1.01.7271400;1.1.1.01;Auszahlungen aus Kleinprojektefonds;13;0;01.01.2001;111;111;10.000;0;0;0;0;0;0;0;10.969,43
1.1.1.01.7291000;1.1.1.01;Auszahlungen für sonstige Dienstleistungen;13;0;01.01.2001;111;111;1.500;0;1.600;1.600;1.600;1.600;0;550;300
1.1.1.01.7411000;1.1.1.01;Sonstige Personal- und Versorgungsauszahlungen;2;0;01.01.2001;110;110;0;0;0;0;0;0;0;463,9;479,8
1.1.1.01.7431000;1.1.1.01;Geschüftsauszahlungen;13;0;01.01.2001;111;111;85.000;0;100.000;101.500;101.500;101.500;0;77.935,96;65.744,45
1.1.1.01.7431100;1.1.1.01;Auszahlungen für Sachverstündigen-,Gerichts-und ühnl.Kosten;13;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01.7491000;1.1.1.01;Verfügungsmittel;0;0;01.01.2001;111;111;500;0;0;0;0;0;0;0;0
1.1.1.01.8117000;1.1.1.01;Auszahlung interne Leistungen;4;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.01/0080.7834000;1.1.1.01;Auszahlung für den Erwerb immaterieller Vermügensgegenstünde;0;80;01.01.2003;111;111;0;2.677,50;0;0;0;0;0;0;2.677,50
1.1.1.02.4582000;1.1.1.02;Ertrüge aus der Auflüsung oder Herabsetzung von Rückstellungen;0;0;01.03.2001;220;220;0;0;0;0;0;0;0;5.000,00;0
1.1.1.02.4651000;1.1.1.02;Ertrüge von Gewinnanteilen aus verbundenen Unternehmen und Beteiligungen;14;0;01.01.2001;111;111;0;-0,1;0;0;0;0;0;265.252,26;-0,1
1.1.1.02.4651100;1.1.1.02;Ertrüge GewAnt a.vU& B (GWW);14;0;01.01.2001;111;111;250.000;210.437,60;210.000;210.000;210.000;210.000;0;0;210.437,60
1.1.1.02.4651200;1.1.1.02;Ertrüge GewAnt a.vU& B KOWISA;14;0;01.01.2001;111;111;27.400;47.340,02;27.400;27.400;27.400;27.400;0;0;47.340,02
1.1.1.02.5315000;1.1.1.02;Zuschüsse an verbund. Unternehmen, Sondervermügen und Beteiligungen (Schlossst.);0;0;01.01.2001;111;111;0;0;0;0;0;0;0;160.000,00;0
1.1.1.02.5318000;1.1.1.02;Zuschüsse an übrige Bereiche (Kulturstiftung);0;0;01.01.2001;111;111;0;0;0;0;0;0;0;160.000,00;0
1.1.1.02.5431100;1.1.1.02;Aufwendungen für Sachverstündigen-,Gerichts-und ühnliche Kosten;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.02.5811200;1.1.1.02;Aufwendungen aus internen Leistungsbeziehungen Bauhof;4;0;01.01.2001;111;111;0;0;0;0;0;0;0;6.388,27;0
1.1.1.02.6651000;1.1.1.02;Einzahlungen von Gewinnanteilen aus verbundenen Unternehmen und Beteiligungen;14;0;01.01.2001;111;111;0;0;0;0;0;0;0;265.252,26;-0,1
1.1.1.02.6651100;1.1.1.02;Einz GewAnt a.vU& Bet. GWW;14;0;01.01.2001;111;111;250.000;0;210.000;210.000;210.000;210.000;0;0;210.437,60
1.1.1.02.6651200;1.1.1.02;Einz GewAnt a.vU& Bet. KOWISA;14;0;01.01.2001;111;111;27.400;0;27.400;27.400;27.400;27.400;0;0;47.340,02
1.1.1.02.7315000;1.1.1.02;Zuschüsse an verbundene Unternehmen, Sondervermügen und Beteiligungen;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;160.000,00;0
1.1.1.02.7318000;1.1.1.02;Zuschüsse an übrige Bereiche (Kulturstiftung);0;0;01.01.2001;111;111;0;0;0;0;0;0;0;160.000,00;0
1.1.1.02.7431100;1.1.1.02;Auszahlungen für Sachverstündigen-,Gerichts-und ühnl.Kosten;0;0;01.01.2001;111;111;0;0;0;0;0;0;0;0;0
1.1.1.02.8117000;1.1.1.02;Auszahlung interne Leistungen;4;0;01.01.2001;111;111;0;0;0;0;0;0;0;6.388,27;0
1.1.1.02/0010.7844000;1.1.1.02;Auszahlungen für den Erwerb von sonstigen Anteilsrechten;0;10;01.01.2003;111;111;0;0;0;0;0;0;0;0;0
1.1.1.03.4141000;1.1.1.03;Zuweisungen für laufende Zwecke vom Land;1;0;05.01.2002;110;110;0;0;0;0;0;0;0;0;0
1.1.1.03.4311000;1.1.1.03;Verwaltungsgebühren;0;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.4321000;1.1.1.03;Benutzungsgebühren und ühnliche Entgelte;0;0;05.01.2001;523;523;1.000;1.000;1.000;1.000;1.000;1.000;0;1.000,00;1.000,00
1.1.1.03.4411000;1.1.1.03;Ertrüge aus Mieten und Pachten;0;0;05.01.2001;523;523;470.000;529.535,75;435.700;435.700;435.700;435.700;0;469.911,68;500.090,83
1.1.1.03.4411019;1.1.1.03;19 % USt Ertrüge Miete/ Pacht;0;0;05.01.2001;523;523;0;0;20.500;20.500;20.500;20.500;0;0;0
1.1.1.03.4461000;1.1.1.03;Sonstige privatrechtliche Leistungsentgelte;0;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.4481000;1.1.1.03;Ertrüge aus Kostenerstattungen vom Land;1;0;01.02.2002;110;110;0;374,65;0;0;0;0;0;0;374,65
1.1.1.03.4487000;1.1.1.03;Ertrüge aus Kostenerstattungen von privaten Unternehmen;0;0;05.01.2001;523;523;0;897,15;0;0;0;0;0;0;897,15
1.1.1.03.4488000;1.1.1.03;Ertrüge aus Kostenerstattungen von übrigen Bereichen;0;0;05.01.2001;523;523;6.000;5.834,83;17.000;17.000;17.000;17.000;0;5.868,34;5.756,16
1.1.1.03.4531000;1.1.1.03;Ertrüge aus der Auflüsung von Sonderposten aus Zuwendungen;0;0;05.01.2001;220;220;165.000;0;165.000;165.000;165.000;165.000;0;0;0
1.1.1.03.4531100;1.1.1.03;Ertrüge aus der Auflüsung von Sonderposten aus Zuw. (Stadtumbau Ost,Aufw.Altst.);0;0;05.01.2001;220;220;0;0;100;100;100;100;0;0;0
1.1.1.03.4534000;1.1.1.03;Ertrüge aus der Auflüsung von sonstigen Sonderposten;0;0;05.01.2001;220;220;0;0;600;600;600;600;0;0;0
1.1.1.03.4541000;1.1.1.03;Ertrüge aus der Verüuüerung von Grundstücken, Gebüuden und Infrastrukturvermügen;0;0;05.01.2001;220;220;700.000;0;1.600.000;750.000;750.000;750.000;0;0;0
1.1.1.03.4582200;1.1.1.03;Ertrüge a d Auflüsung oder Herabsetzung v Rückstell. f unterlassene Instandhalt.;0;0;05.01.2001;220;220;0;0;0;0;0;0;0;0;0
1.1.1.03.4591000;1.1.1.03;Andere sonstige ordentlich Ertrüge;0;0;05.01.2001;523;523;300;334;300;300;300;300;0;1.072,41;334
1.1.1.03.4721000;1.1.1.03;Bestandserhühungen;0;0;05.01.2001;220;220;0;0;0;0;0;0;0;2;16.630,00
1.1.1.03.5012000;1.1.1.03;Dienstaufwendungen für Arbeitnehmer;1;0;05.01.2002;110;110;340.700;330.807,12;344.700;353.300;362.100;371.300;0;329.902,28;330.807,12
1.1.1.03.5022000;1.1.1.03;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;05.01.2002;110;110;14.200;13.611,29;13.800;14.200;14.500;14.900;0;13.553,10;13.611,29
1.1.1.03.5032000;1.1.1.03;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;05.01.2002;110;110;68.300;64.996,75;69.300;71.100;72.900;74.800;0;64.552,64;64.996,75
1.1.1.03.5041000;1.1.1.03;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;05.01.2002;110;110;1.600;1.893,11;1.900;2.000;2.100;2.200;0;1.553,72;1.893,11
1.1.1.03.5211000;1.1.1.03;Unterhaltung der Grundstücke und baulichen Anlagen;51;0;05.01.2001;523;523;24.000;56.865,80;24.000;24.000;24.000;24.000;0;1.577,70;56.865,80
1.1.1.03.5221000;1.1.1.03;Unterhaltung des sonstigen unbeweglichen Vermügens;51;0;05.01.2001;523;523;50.000;16.540,49;100.000;100.000;100.000;100.000;0;431.367,07;16.540,49
1.1.1.03.5231000;1.1.1.03;Aufwendungen für Mieten und Pachten;51;0;05.01.2001;523;523;18.000;17.749,73;18.000;18.000;18.000;18.000;0;17.304,03;17.649,73
1.1.1.03.5241000;1.1.1.03;Bewirtschaftung der Grundstücke und baulichen Anlagen;51;0;05.01.2001;523;523;70.000;78.716,74;81.000;81.000;81.000;81.000;0;92.717,04;78.716,74
1.1.1.03.5252000;1.1.1.03;Erwerb geringwertiger Vermügensgegenstünde;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.5291000;1.1.1.03;Aufwendungen für sonstige Dienstleistungen;51;0;05.01.2001;523;523;3.000;2.499;3.500;4.000;4.500;5.000;0;2.499,00;2.499,00
1.1.1.03.5411000;1.1.1.03;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;05.01.2001;110;110;0;133,8;0;0;0;0;0;230,4;133,8
1.1.1.03.5431000;1.1.1.03;Geschüftsaufwendungen;51;0;05.01.2001;523;523;100;0;100;100;100;100;0;0;0
1.1.1.03.5431100;1.1.1.03;Aufwendungen für Sachverstündigen-,Gerichts-und ühnliche Kosten;51;0;05.01.2001;523;523;1.000;3.266,98;5.000;5.000;5.000;5.000;0;5.209,94;3.266,98
1.1.1.03.5441000;1.1.1.03;Steuern, Versicherungen, Schadensfülle;10;0;05.01.2001;110;110;0;0;0;0;0;0;0;0;0
1.1.1.03.5450001;1.1.1.03;Erstatt. für die Aufwendungen von Dritten aus lfd. Verwaltungstüt. an den Bund;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.5458000;1.1.1.03;Erstatt. für die Aufwend. von Dritten aus lfd. Verwaltungstüt. an übrige Ber.;51;0;05.01.2001;523;523;10.000;638,8;10.000;10.000;10.000;10.000;0;1.552,30;638,8
1.1.1.03.5471000;1.1.1.03;Wertminderungen bei Sachanlagen;0;0;05.01.2001;220;220;0;0;0;0;0;0;0;51;4.507,50
1.1.1.03.5473100;1.1.1.03;Abgang auf Forderungen;0;0;05.01.2001;220;220;0;0;0;0;0;0;0;163,6;708,48
1.1.1.03.5473200;1.1.1.03;Niederschlagung;0;0;05.01.2001;220;220;0;0;0;0;0;0;0;404,7;0
1.1.1.03.5482000;1.1.1.03;Süumniszuschlüge;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.5711000;1.1.1.03;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;05.01.2004;220;220;430.000;0;500.000;500.000;505.000;505.000;0;0;0
1.1.1.03.5811200;1.1.1.03;Aufwendungen aus internen Leistungsbeziehungen Bauhof;4;0;05.01.2001;523;523;30.000;32.766,07;30.000;30.000;30.000;30.000;0;29.447,71;32.766,07
1.1.1.03.5811300;1.1.1.03;Aufwendungen aus internen Leistungsbeziehungen Grünanlagen;5;0;05.01.2001;523;523;5.000;7.185,62;8.000;8.000;8.000;8.000;0;8.127,02;7.185,62
1.1.1.03.6141000;1.1.1.03;Zuweisungen für laufende Zwecke vom Land;1;0;05.01.2002;110;110;0;0;0;0;0;0;0;0;0
1.1.1.03.6311000;1.1.1.03;Verwaltungsgebühren;0;0;05.01.2001;523;523;0;0;0;0;0;0;0;40;0
1.1.1.03.6321000;1.1.1.03;Benutzungsgebühren und ühnliche Entgelte;0;0;05.01.2001;523;523;1.000;0;1.000;1.000;1.000;1.000;0;1.000,00;1.000,00
1.1.1.03.6411000;1.1.1.03;Einzahlungen aus Mieten und Pachten;0;0;05.01.2001;523;523;470.000;0;435.700;435.700;435.700;435.700;0;487.809,00;534.175,92
1.1.1.03.6411019;1.1.1.03;19 % USt Einz. Miete/ Pacht;0;0;05.01.2001;523;523;0;0;20.500;20.500;20.500;20.500;0;0;0
1.1.1.03.6461000;1.1.1.03;Sonstige privatrechtliche Leistungsentgelte;0;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.6481000;1.1.1.03;Einzahlungen aus Kostenerstattungen vom Land;1;0;01.02.2002;110;110;0;0;0;0;0;0;0;0;0
1.1.1.03.6487000;1.1.1.03;Einzahlungen aus Kostenerstattungen von privaten Unternehmen;0;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;870,35
1.1.1.03.6488000;1.1.1.03;Einzahlungen aus Kostenerstattungen von übrigen Bereichen;0;0;05.01.2001;523;523;6.000;0;17.000;17.000;17.000;17.000;0;5.871,44;5.895,23
1.1.1.03.6591000;1.1.1.03;Andere sonstige Einzahlungen aus laufender Verwaltungstütigkeit;0;0;05.01.2001;523;523;300;0;300;300;300;300;0;334;1.072,41
1.1.1.03.7012000;1.1.1.03;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;05.01.2002;110;110;340.700;0;344.700;353.300;362.100;371.300;0;329.902,28;331.295,87
1.1.1.03.7022000;1.1.1.03;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;05.01.2002;110;110;14.200;0;13.800;14.200;14.500;14.900;0;13.553,10;13.611,29
1.1.1.03.7032000;1.1.1.03;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;05.01.2002;110;110;68.300;0;69.300;71.100;72.900;74.800;0;64.552,64;64.996,75
1.1.1.03.7041000;1.1.1.03;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;05.01.2002;110;110;1.600;0;1.900;2.000;2.100;2.200;0;1.553,72;1.893,11
1.1.1.03.7211000;1.1.1.03;Unterhaltung der Grundstücke und baulichen Anlagen;51;0;05.01.2001;523;523;24.000;0;24.000;24.000;24.000;24.000;0;2.018,50;2.877,28
1.1.1.03.7221000;1.1.1.03;Unterhaltung des sonstigen unbeweglichen Vermügens;51;0;05.01.2001;523;523;50.000;0;100.000;100.000;100.000;100.000;0;479.640,61;16.540,49
1.1.1.03.7231000;1.1.1.03;Auszahlungen für Mieten und Pachten;51;0;05.01.2001;523;523;18.000;0;18.000;18.000;18.000;18.000;0;17.404,03;17.749,73
1.1.1.03.7241000;1.1.1.03;Bewirtschaftung der Grundstücke und baulichen Anlagen;51;0;05.01.2001;523;523;70.000;0;81.000;81.000;81.000;81.000;0;72.762,15;94.553,59
1.1.1.03.7252000;1.1.1.03;Erwerb geringwertiger Vermügensgegenstünde;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.7291000;1.1.1.03;Auszahlungen für sonstige Dienstleistungen;51;0;05.01.2001;523;523;3.000;0;3.500;4.000;4.500;5.000;0;2.499,00;2.499,00
1.1.1.03.7411000;1.1.1.03;Sonstige Personal- und Versorgungsauszahlungen;2;0;05.01.2001;110;110;0;0;0;0;0;0;0;230,4;133,8
1.1.1.03.7431000;1.1.1.03;Geschüftsauszahlungen;51;0;05.01.2001;523;523;100;0;100;100;100;100;0;0;0
1.1.1.03.7431100;1.1.1.03;Auszahlungen für Sachverstündigen-,Gerichts-und ühnl.Kosten;51;0;05.01.2001;523;523;1.000;0;5.000;5.000;5.000;5.000;0;5.198,04;3.278,88
1.1.1.03.7441000;1.1.1.03;Steuern, Versicherungen, Schadensfülle;10;0;05.01.2001;110;110;0;0;0;0;0;0;0;0;0
1.1.1.03.7450001;1.1.1.03;Erstattungen für die Auszahl. von Dritten aus lfd. Verwaltungstüt. an den Bund;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.7458000;1.1.1.03;Erstatt. für die Auszahl. von Dritten aus lfd. Verwaltungstüt. an übrige Ber.;51;0;05.01.2001;523;523;10.000;0;10.000;10.000;10.000;10.000;0;5.762,92;638,8
1.1.1.03.7482000;1.1.1.03;Besondere Auszahlungen Süumniszuschlüge;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.7599000;1.1.1.03;Sonstige Finanzauszahlungen;51;0;05.01.2001;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03.8117000;1.1.1.03;Auszahlung interne Leistungen;0;0;05.01.2001;523;523;35.000;0;38.000;38.000;38.000;38.000;0;37.574,73;39.951,69
1.1.1.03/0001.7821000;1.1.1.03;Auszahlungen für den Erwerb von Grundstücken, Gebüuden und Infrastrukturvermügen;87;1;05.01.2003;523;523;60.000;89.540,43;80.200;191.000;191.000;191.000;0;14.272,03;80.731,30
1.1.1.03/0003.6821000;1.1.1.03;Einzahlungen aus Verüuüerung von Grundstücken, Gebüuden, Infrastrukturvermügen;0;3;05.01.2003;523;523;1.357.800;2.046.676;1.296.000;0;1.500.000;1.500.000;0;550.908,32;913.040,80
1.1.1.03/0004.6821000;1.1.1.03;Einzahlungen aus Verüuüerung von Grundstücken, Gebüuden, Infrastrukturvermügen;71;4;05.01.2003;523;523;4.385.100;6.426.074,28;3.443.500;2.661.400;0;0;0;0;944.612,28
1.1.1.03/0004.7815000;1.1.1.03;Erschlieüungskosten an Stadtwerke;71;4;05.01.2003;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03/0004.7821000;1.1.1.03;Auszahlungen für den Erwerb von Grundstücken, Gebüuden und Infrastrukturvermügen;71;4;05.01.2003;523;523;2.647.100;5.434,31;0;0;0;0;0;0;5.434,31
1.1.1.03/0004.7821001;1.1.1.03;Ausz. für Erschlieüungskosten;71;4;05.01.2003;523;523;0;1.104.285,09;316.200;240.000;0;0;0;0;1.104.285,09
1.1.1.03/0005.6821000;1.1.1.03;Einzahlungen aus Verüuüerung von Grundstücken, Gebüuden, Infrastrukturvermügen;102;5;05.01.2003;523;523;0;1.001.900;859.200;859.200;0;0;0;0;1.001.900,00
1.1.1.03/0005.7815000;1.1.1.03;Ausz.f.Zusch. f.InvestFürdMaün. an verbund. Untern., Sonderverm. u.Beteiligungen;102;5;05.01.2003;523;523;0;0;0;0;0;0;0;0;0
1.1.1.03/0005.7821000;1.1.1.03;Auszahlungen für den Erwerb von Grundstücken, Gebüuden und Infrastrukturvermügen;102;5;05.01.2003;523;523;0;0;0;0;0;0;0;0;0
